msme_id,business_name,nic_code,district,state,district_tier,vintage_years,employee_count,monthly_revenue_series,gst_filing_dates,upi_inflow_series,epfo_contribution_series,cash_balance,receivables_outstanding,top_customer_concentration,network_node_count,climate_zone,past_climate_event,climate_recovery,ondc_seller,electricity_consumption_series,skill_certificates,whatsapp_active,good_borrower
MSME_100000,Apex Agro Industries 13,86,coimbatore,Tamil Nadu,Tier 2,4.1,18,"1145646.68,1203501.21,1322703.24,1406700.61,1268468.59,1204198.46,1221937.49,1092839.86,980107.78,1029849.13,1027709.74,1113375.09,1257741.58,1204917.15,1265001.47,1346069.1,1267720.27,1270948.31,1106336.43,1010387.29,1136600.34,1072779.14,1163974.38,1174407.08","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1","1008666.53,1138472.87,1133265.89,1241843.87,1172585.94,1075081.85,1135492.79,968914.9,887669.67,830958.13,857299.78,939029.67,1021246.92,1006007.78,1031166.22,1132981.03,1135056.72,1086311.07,946500.85,840062.32,954797.33,1008946.84,1044323.99,1046830.83","39032.13,0.0,40346.82,37815.14,40878.01,0.0,0.0,38919.27,39539.08,38917.13,43840.35,40097.2",910253.253974973,933501.0886158433,0.3269423307424649,87,MEDIUM,0,0,0,"3488.4,3144.7,3524.6,3981.5,3403.5,3286.8,3332.9,2773.6,2859.4,2673.1,2940.2,3299.8",,0,0
MSME_100001,Priya Hub 42,46,bangalore,Karnataka,Tier 1,10.4,15,"983559.45,1169725.6,1113051.44,1219617.72,1066929.35,1046277.42,1049866.82,999893.53,925705.25,909891.0,944085.68,959982.98,1087416.69,1179409.1,1318270.25,1271885.42,1097346.64,1143940.8,1020779.75,941668.69,976772.18,1019412.6,1082913.51,1078750.54","1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0","832216.32,945943.96,1037031.63,1148931.62,867251.41,913294.06,850793.05,913993.0,846904.74,745436.14,822574.64,847156.7,913167.4,1097870.6,1138287.72,1057915.79,966646.52,1040402.33,847423.44,797364.97,927222.87,914904.16,937494.48,946750.71","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1215966.6970253303,374440.5093174538,0.20415216911609163,14,LOW,0,0,0,"2170.3,2509.2,2911.3,2676.9,2409.5,2539.0,2348.4,2232.3,2183.8,2129.6,2371.9,2331.5",SIDBI Financial Management|UDYAM Registration Cert|PMKVY Retail Associate,0,1
MSME_100002,Apex Agro Industries 17,25,tirupur,Tamil Nadu,Tier 2,12.1,14,"404204.3,449252.52,486563.6,458757.68,454041.07,408156.45,374952.7,383016.85,372235.77,344621.2,378539.88,394915.44,406478.7,455392.92,497168.25,457967.42,473776.05,355441.74,391805.26,352233.81,334313.74,347049.51,330487.47,393035.15","1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0","383716.56,396854.06,441683.58,377658.28,383440.49,385832.91,332536.94,337563.96,339552.1,278652.01,336002.08,345719.86,377174.83,375068.4,469384.91,371877.2,392226.75,316078.44,353126.98,294214.06,273462.95,323985.67,276595.64,349478.16","27348.91,0.0,28854.64,26172.87,25782.97,26195.06,28098.95,27310.81,26157.44,27558.7,26999.57,28170.48",108392.98567890501,119357.99523755052,0.23564029032528094,49,LOW,0,0,0,,,1,0
MSME_100003,Bharat Hub 11,56,bastar,Chhattisgarh,Rural,4.8,85,"193172.86,214101.89,226258.98,218847.12,235942.72,224218.21,206329.72,189955.42,170779.18,180207.17,190334.92,201915.96,228043.66,252089.2,281645.67,260360.51,252657.58,233421.2,196641.27,204230.96,200256.96,230272.27,217569.99,243599.56","1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1","158857.27,172438.57,193537.95,193215.47,203964.93,180781.39,176349.54,178551.1,161527.98,145244.14,162483.47,182190.79,205248.42,215045.14,248969.85,242449.51,239033.16,212978.55,184619.52,170637.13,165086.88,211846.59,179834.18,209944.86","205723.75,194039.28,217857.15,213829.39,214232.27,196711.03,220535.91,191636.65,212128.44,228652.03,195874.86,200246.25",136787.37075183273,190385.39388470503,0.3289261849953484,40,MEDIUM,0,0,0,,,0,0
MSME_100004,Ram Diagnostics 13,14,coimbatore,Tamil Nadu,Tier 2,3.1,34,"105998.46,111333.59,111252.97,123327.43,114142.34,117016.41,101250.04,106153.58,90174.57,92146.08,102160.75,99712.18,117027.29,132032.62,118300.74,129753.14,125440.93,120453.2,100628.21,93882.58,100373.5,101616.33,108291.49,118487.79","1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0","93613.8,92270.61,100098.68,105675.8,104122.95,96667.74,89643.32,91388.81,83416.78,77917.0,84949.46,91522.2,104271.23,112008.21,102480.13,116952.23,109971.07,110703.76,94990.49,85470.16,90218.47,85618.66,97416.65,105796.46","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",86841.74721646727,108066.14871483743,0.15314777357204087,10,MEDIUM,0,0,1,,,1,0
MSME_100005,Arjun Pharma 73,25,kolkata,West Bengal,Tier 1,2.6,89,"56066.56,63719.43,67639.24,65652.08,73163.69,65101.78,55644.62,56848.24,49981.18,54607.4,58380.36,57391.79,68451.32,71529.64,75882.56,79907.0,69567.26,63567.24,58512.7,55147.51,55835.48,58458.82,62355.67,69872.37","1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1","50215.97,58295.13,59400.44,58693.76,61544.54,52838.07,46900.58,47795.57,42381.86,48110.37,47916.04,47904.31,61886.32,64803.2,61437.13,68811.11,61316.0,54818.24,48625.53,47593.49,52246.7,51888.75,56390.01,64877.18","167462.71,0.0,0.0,0.0,179516.64,0.0,165139.34,190115.46,172589.31,160181.48,158393.01,171391.09",54134.48511162485,17895.91123600507,0.3771731044626171,21,LOW,0,0,0,,,0,1
MSME_100006,Suresh Foods 69,16,bengaluru,Karnataka,Tier 1,4.3,42,"352919.64,398697.58,414507.85,409560.25,384602.21,350636.22,343042.29,338372.29,311229.37,287066.65,322455.65,351364.57,357495.07,402189.49,413962.45,387528.52,401499.37,378226.97,357570.46,333428.19,285980.39,298580.87,342020.22,371126.57","1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1","321929.36,325807.66,382547.3,386914.89,313918.02,281859.54,290486.01,305077.16,293715.23,246733.26,292548.6,285097.03,323029.74,359592.14,337497.46,354926.57,372408.33,336645.36,292549.23,315948.77,262357.07,254414.96,295593.27,317530.56","79323.19,92228.62,0.0,79539.11,81722.47,81020.44,79850.37,76112.69,0.0,80266.33,74343.51,76416.03",503076.7777621679,133290.09154382732,0.6461992120135323,111,LOW,0,0,0,"1258.5,1367.1,1434.5,1256.6,1344.5,1223.6,1195.7,1085.3,912.4,956.9,1168.6,1338.8",,0,1
MSME_100007,Suresh Kitchen 81,20,jodhpur,Rajasthan,Tier 3,9.9,63,"682868.94,754520.53,877916.11,720899.49,799848.25,668522.45,653657.16,649790.62,583985.08,544991.19,577320.72,664445.23,668621.92,745025.98,760369.27,727363.95,795091.85,687744.04,549721.47,573706.97,530369.42,580497.17,566356.5,633178.18","1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0","576639.78,644460.25,742137.73,653281.12,655065.67,539382.2,528271.93,548306.64,549888.2,488137.95,527046.95,541780.76,536127.67,627796.81,662895.35,619063.74,751222.38,576241.31,510833.32,468783.46,429493.96,507216.36,502105.15,571739.41","149278.31,151904.73,136863.68,143166.75,142144.3,140845.65,158454.63,148550.26,136422.59,152284.08,161051.45,153118.4",1162107.74885794,124102.00035244254,0.583915973048296,85,HIGH,0,0,0,"1542.6,1691.7,1898.2,1868.4,1921.1,1641.0,1443.5,1505.3,1325.0,1518.5,1549.1,1688.4",,0,0
MSME_100008,Ram Auto Parts 92,15,coimbatore,Tamil Nadu,Tier 2,12.5,10,"126107.34,144611.07,166879.13,154703.59,161229.86,155785.71,133146.59,129562.93,104001.55,117818.23,128848.97,132766.42,167213.03,154120.27,168916.95,174167.91,179103.99,145509.56,153850.06,136640.51,126672.51,139821.7,147760.54,154887.56","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","109251.13,121722.53,158458.71,133877.82,148675.98,147273.31,115904.31,111586.36,88209.82,96103.15,106187.49,114411.03,146197.76,138613.85,145280.04,159202.53,144269.08,118329.68,128904.78,111688.35,116017.1,129997.35,136492.19,123936.79","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",37782.463963958064,98860.04390788071,0.48584371082119787,68,MEDIUM,0,0,0,,PMKVY Retail Associate|UDYAM Registration Cert|NABARD Agri-Business Cert,0,0
MSME_100009,Apex Enterprises 40,62,hyderabad,Telangana,Tier 1,5.0,2,"853733.8,896878.13,964099.95,1001952.41,1019181.1,833932.83,906734.97,681391.94,708691.99,728291.42,746577.15,766493.6,846472.68,887155.74,909739.2,969632.77,905346.31,798067.43,793662.88,717546.79,710579.97,715828.31,705500.91,773540.7","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","758150.33,851886.55,842089.3,823894.76,897681.55,710317.79,800454.4,600656.88,615358.45,617785.29,618388.25,693389.09,749779.81,740805.53,833622.84,782054.49,825409.46,722876.85,731528.07,615591.87,639204.57,660789.8,668195.94,676306.09","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",798974.9911193907,773084.6516448768,0.6619332618380158,61,LOW,0,0,1,,SIDBI Financial Management,0,0
